"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1880136721624420640","Fri Jan 17 08:27:46 +0000 2025","1","@ARSIPAJA kalo dia ga dikasih pangkat atau deket sama rezim gua yakin nolak keras makan siang gratis yang ga maksa ini sampe naikin pajak","1880170135337726279","","ARSIPAJA","in","bdg","0","0","0","https://x.com/thescammedboy/status/1880170135337726279","1183008527477948416","thescammedboy"
"1880156300421787850","Fri Jan 17 08:26:17 +0000 2025","0","@xoc_yu Di daerah ku aja sampe saat ini belum ada makan siang gratis itu wkwkwk padahal cuma di daerah jogja","1880169762048925987","","xoc_yu","in","’지구에서 한아뿐 그냥‘","0","1","0","https://x.com/Circinus_Arp/status/1880169762048925987","1362031099719811078","Circinus_Arp"
"1880128562931593416","Fri Jan 17 08:26:08 +0000 2025","0","@rehanbaiqqq1 Gatau buat makan siang gratis","1880169722165305619","","rehanbaiqqq1","in","Washington, DC","0","0","0","https://x.com/TuanPangemanann/status/1880169722165305619","1108608823399333888","TuanPangemanann"
"1880136721624420640","Fri Jan 17 08:25:04 +0000 2025","0","@ARSIPAJA Ga smua hal (termasuk rasa makanan) di setiap catering itu sama (enak terus) bro Mungkin catering bro emang enak aja Jangankan makan siang gratis pemerintah nasi kotak di kntr gue (berbayar) aja kadang menunya emang g enak (bisa basi ketemu telur lalat atau gaenak aja dll)","1880169456498012327","","ARSIPAJA","in","Jakarta Capital Region","0","0","0","https://x.com/adhree/status/1880169456498012327","74936390","adhree"
"1880169104084242687","Fri Jan 17 08:23:40 +0000 2025","0","Hari hari negara fokus makan siang gratis mulu kaya udah jadi sila ke 6","1880169104084242687","","","in","","0","0","0","https://x.com/thetopofmylung/status/1880169104084242687","1091662945161859072","thetopofmylung"
"1880085131685187953","Fri Jan 17 08:23:25 +0000 2025","0","@detikcom Gerindra emang lucu udah jelas program makan siang gratis dipaksakan padahal keuangan negara gak mendukung. Sekarang ngingetin program sarapan gratis ide Pramono-Rano untuk tidak dipaksakan","1880169039055773934","","detikcom","in","","0","0","0","https://x.com/bigwinagain21/status/1880169039055773934","1606476691005919232","bigwinagain21"
"1880168651590074507","Fri Jan 17 08:21:53 +0000 2025","0","Usul pak @prabowo bantuan makan siang gratis dari uang sita aset koruptor semua aset dan hasil kejahatanya disita untuk bantuan makan siang gratis. Miskin kan korutor kembalikan uangnya ke tangan rakyat","1880168651590074507","","","in","Sudut kamar no 6 ","0","0","1","https://x.com/Pengangguran007/status/1880168651590074507","488454990","Pengangguran007"
"1880166290222117330","Fri Jan 17 08:19:40 +0000 2025","8","@Yoyongky_A Sepertinya PKI sedang mengalihkan perhatian masyarakat dari isu OCCRP terong dan pagar laut. Fokus angkat pagar laut terong dan OCCRP. Jangan pusing dengan gorengan makan siang gratis dulu #NegaraKalahLawanAguan #NegaraKalahLawanAguan https://t.co/cJx5hGuQJn","1880168096302092731","https://pbs.twimg.com/media/Ghey6tQacAIsS4n.jpg","Yoyongky_A","in","","0","0","8","https://x.com/Srik4ndiMuslim2/status/1880168096302092731","1629530059265703938","Srik4ndiMuslim2"
"1879664702894301439","Fri Jan 17 08:19:32 +0000 2025","0","@papa_loren yang dulu bilang mati demi NKRI kok diam ya pas maling harta NKRI di bebaskan padahal duit nya bisa buat program makan siang gratis. jadi gak perlu Pak Prabowo minta dana zakat","1880168063632580995","","papa_loren","in","","0","0","0","https://x.com/tomoerudy/status/1880168063632580995","596387742","tomoerudy"
"1880085131685187953","Fri Jan 17 08:18:09 +0000 2025","0","@detikcom halo bu gmn dengan program makan siang gratis sampe uang zakat Sama anggaran lain Di potong","1880167713395646883","","detikcom","in","Jakarta Capital Region","0","0","0","https://x.com/Slamet10948355/status/1880167713395646883","1360136807032102915","Slamet10948355"
