tweet,tweet_cleaning,tweet_casefolding,normalisasi,tokenize,stopword removal,steming_data
"Menteri Pendidikan Dasar dan Menengah, Abdul Mu'ti, menanggapi temuan Institute for Development of Economics and Finance (Indef) yang menunjukkan sekitar 4.000 siswa yang dilaporkan menjadi korban keracunan Makan Bergizi Gratis (MBG) dalam delapan bulan terakhir. 

""Bahwa ada berbagai peristiwa, sebagian anak-anak keracunan, mudah-mudahan bisa menjadi bahan evaluasi,"" ujar Mu'ti pada Jumat (5/9/2025). 

Menurut Mu'ti, MBG akan tetap berjalan sesuai arahan Presiden Prabowo dan bakal disempurnakan juga ditingkatkan secara bertahap.",Menteri Pendidikan Dasar dan Menengah Abdul Muti menanggapi temuan Institute for Development of Economics and Finance Indef yang menunjukkan sekitar 4000 siswa yang dilaporkan menjadi korban keracunan Makan Bergizi Gratis MBG dalam delapan bulan terakhir Bahwa ada berbagai peristiwa sebagian anakanak keracunan mudahmudahan bisa menjadi bahan evaluasi ujar Muti pada Jumat 592025 Menurut Muti MBG akan tetap berjalan sesuai arahan Presiden Prabowo dan bakal disempurnakan juga ditingkatkan secara bertahap,menteri didik dasar tengah abdul muti tanggap temu institute for development of economics and finance indef 4000 siswa lapor korban racun makan gizi gratis mbg delapan peristiwa anakanak racun mudahmudahan bahan evaluasi muti jumat 592025 muti mbg jalan sesuai arah presiden prabowo sempurna tingkat tahap,menteri didik dasar tengah abdul muti tanggap temu institute for development of economics and finance indef 4000 siswa lapor korban racun makan gizi gratis mbak delapan peristiwa anakanak racun mudahmudahan bahan evaluasi muti jumat 592025 muti mbak jalan sesuai arah presiden prabowo sempurna tingkat tahap,"['menteri', 'didik', 'dasar', 'tengah', 'abdul', 'muti', 'tanggap', 'temu', 'institute', 'for', 'development', 'of', 'economics', 'and', 'finance', 'indef', '4000', 'siswa', 'lapor', 'korban', 'racun', 'makan', 'gizi', 'gratis', 'mbak', 'delapan', 'peristiwa', 'anakanak', 'racun', 'mudahmudahan', 'bahan', 'evaluasi', 'muti', 'jumat', '592025', 'muti', 'mbak', 'jalan', 'sesuai', 'arah', 'presiden', 'prabowo', 'sempurna', 'tingkat', 'tahap']","['menteri', 'didik', 'dasar', 'abdul', 'muti', 'tanggap', 'temu', 'institute', 'for', 'development', 'of', 'economics', 'and', 'finance', 'indef', '4000', 'siswa', 'lapor', 'korban', 'racun', 'makan', 'gizi', 'gratis', 'mbak', 'delapan', 'peristiwa', 'anakanak', 'racun', 'mudahmudahan', 'bahan', 'evaluasi', 'muti', 'jumat', '592025', 'muti', 'mbak', 'jalan', 'sesuai', 'arah', 'presiden', 'prabowo', 'sempurna', 'tingkat', 'tahap']",menteri didik dasar abdul muti tanggap temu institute for development of economics and finance indef 4000 siswa lapor korban racun makan gizi gratis mbak delapan peristiwa anakanak racun mudahmudahan bahan evaluasi muti jumat 592025 muti mbak jalan sesuai arah presiden prabowo sempurna tingkat tahap
"Kapolsek Tanah Putih Tanjung Melawan IPDA BONNI FERDY SAGALA,S.H.,M.H. monitoring makan bergizi gratis (MBG) di SMPN 1 Tanah Putih Tanjung Melawan bersama camat, korwil,  penghulu dan kepsek

#salampresisi #polisiindonesia #MBG #fyp #jangkauanluas #semuaorang #sorotan #pengikut",Kapolsek Tanah Putih Tanjung Melawan IPDA BONNI FERDY SAGALASHMH monitoring makan bergizi gratis MBG di SMPN 1 Tanah Putih Tanjung Melawan bersama camat korwil penghulu dan kepsek salampresisi polisiindonesia MBG fyp jangkauanluas semuaorang sorotan pengikut,kapolsek tanah putih tanjung lawan ipda bonni ferdy sagalashmh monitoring makan gizi gratis mbg smpn 1 tanah putih tanjung lawan camat korwil penghulu kepsek salampresisi polisiindonesia mbg fyp jangkauanluas semuaorang sorot ikut,kapolsek tanah putih tanjung lawan ipda bonni ferdy sagalashmh monitoring makan gizi gratis mbak smpn 1 tanah putih tanjung lawan camat korwil penghulu kepsek salampresisi polisiindonesia mbak fyp jangkauanluas semuaorang sorot ikut,"['kapolsek', 'tanah', 'putih', 'tanjung', 'lawan', 'ipda', 'bonni', 'ferdy', 'sagalashmh', 'monitoring', 'makan', 'gizi', 'gratis', 'mbak', 'smpn', '1', 'tanah', 'putih', 'tanjung', 'lawan', 'camat', 'korwil', 'penghulu', 'kepsek', 'salampresisi', 'polisiindonesia', 'mbak', 'fyp', 'jangkauanluas', 'semuaorang', 'sorot', 'ikut']","['kapolsek', 'tanah', 'putih', 'tanjung', 'lawan', 'ipda', 'bonni', 'ferdy', 'sagalashmh', 'monitoring', 'makan', 'gizi', 'gratis', 'mbak', 'smpn', '1', 'tanah', 'putih', 'tanjung', 'lawan', 'camat', 'korwil', 'penghulu', 'kepsek', 'salampresisi', 'polisiindonesia', 'mbak', 'fyp', 'jangkauanluas', 'semuaorang', 'sorot']",kapolsek tanah putih tanjung lawan ipda bonni ferdy sagalashmh monitoring makan gizi gratis mbak smpn 1 tanah putih tanjung lawan camat korwil penghulu kepsek salampresisi polisiindonesia mbak fyp jangkauanluas semuaorang sorot
"Kapolsek TPTM dan Forkopimcam Pantau Distribusi Makan Bergizi Gratis di SMPN 1

riauaktual.com/news/detail/1…

#salampresisi #polisiindonesia #MBG #fyp  #jangkauanluas #semuaorang #sorotan #pengikut",Kapolsek TPTM dan Forkopimcam Pantau Distribusi Makan Bergizi Gratis di SMPN 1 riauaktualcomnewsdetail1 salampresisi polisiindonesia MBG fyp jangkauanluas semuaorang sorotan pengikut,kapolsek tptm forkopimcam pantau distribusi makan gizi gratis smpn 1 riauaktualcomnewsdetail1 salampresisi polisiindonesia mbg fyp jangkauanluas semuaorang sorot ikut,kapolsek tptm forkopimcam pantau distribusi makan gizi gratis smpn 1 riauaktualcomnewsdetail1 salampresisi polisiindonesia mbak fyp jangkauanluas semuaorang sorot ikut,"['kapolsek', 'tptm', 'forkopimcam', 'pantau', 'distribusi', 'makan', 'gizi', 'gratis', 'smpn', '1', 'riauaktualcomnewsdetail1', 'salampresisi', 'polisiindonesia', 'mbak', 'fyp', 'jangkauanluas', 'semuaorang', 'sorot', 'ikut']","['kapolsek', 'tptm', 'forkopimcam', 'pantau', 'distribusi', 'makan', 'gizi', 'gratis', 'smpn', '1', 'riauaktualcomnewsdetail1', 'salampresisi', 'polisiindonesia', 'mbak', 'fyp', 'jangkauanluas', 'semuaorang', 'sorot']",kapolsek tptm forkopimcam pantau distribusi makan gizi gratis smpn 1 riauaktualcomnewsdetail1 salampresisi polisiindonesia mbak fyp jangkauanluas semuaorang sorot
"Kapolsek Tanah Putih Tanjung Melawan IPDA BONNI FERDY SAGALA,S.H.,M.H. monitoring makan bergizi gratis (MBG) di SMPN 1 Tanah Putih Tanjung Melawan bersama camat, korwil,  penghulu dan kepsek

#salampresisi #polisiindonesia #MBG #fyp  #jangkauanluas #semuaorang #sorotan #pengikut",Kapolsek Tanah Putih Tanjung Melawan IPDA BONNI FERDY SAGALASHMH monitoring makan bergizi gratis MBG di SMPN 1 Tanah Putih Tanjung Melawan bersama camat korwil penghulu dan kepsek salampresisi polisiindonesia MBG fyp jangkauanluas semuaorang sorotan pengikut,kapolsek tanah putih tanjung lawan ipda bonni ferdy sagalashmh monitoring makan gizi gratis mbg smpn 1 tanah putih tanjung lawan camat korwil penghulu kepsek salampresisi polisiindonesia mbg fyp jangkauanluas semuaorang sorot ikut,kapolsek tanah putih tanjung lawan ipda bonni ferdy sagalashmh monitoring makan gizi gratis mbak smpn 1 tanah putih tanjung lawan camat korwil penghulu kepsek salampresisi polisiindonesia mbak fyp jangkauanluas semuaorang sorot ikut,"['kapolsek', 'tanah', 'putih', 'tanjung', 'lawan', 'ipda', 'bonni', 'ferdy', 'sagalashmh', 'monitoring', 'makan', 'gizi', 'gratis', 'mbak', 'smpn', '1', 'tanah', 'putih', 'tanjung', 'lawan', 'camat', 'korwil', 'penghulu', 'kepsek', 'salampresisi', 'polisiindonesia', 'mbak', 'fyp', 'jangkauanluas', 'semuaorang', 'sorot', 'ikut']","['kapolsek', 'tanah', 'putih', 'tanjung', 'lawan', 'ipda', 'bonni', 'ferdy', 'sagalashmh', 'monitoring', 'makan', 'gizi', 'gratis', 'mbak', 'smpn', '1', 'tanah', 'putih', 'tanjung', 'lawan', 'camat', 'korwil', 'penghulu', 'kepsek', 'salampresisi', 'polisiindonesia', 'mbak', 'fyp', 'jangkauanluas', 'semuaorang', 'sorot']",kapolsek tanah putih tanjung lawan ipda bonni ferdy sagalashmh monitoring makan gizi gratis mbak smpn 1 tanah putih tanjung lawan camat korwil penghulu kepsek salampresisi polisiindonesia mbak fyp jangkauanluas semuaorang sorot
Prabowo-Gibran peduli rakyat dengan program makan bergizi gratis untuk semua #MakanBergiziGratis,PrabowoGibran peduli rakyat dengan program makan bergizi gratis untuk semua MakanBergiziGratis,prabowogibran peduli rakyat program makan gizi gratis makanbergizigratis,prabowogibran peduli rakyat program makan gizi gratis makanbergizigratis,"['prabowogibran', 'peduli', 'rakyat', 'program', 'makan', 'gizi', 'gratis', 'makanbergizigratis']","['prabowogibran', 'peduli', 'rakyat', 'program', 'makan', 'gizi', 'gratis', 'makanbergizigratis']",prabowogibran peduli rakyat program makan gizi gratis makanbergizigratis
"Makan bergizi gratis, komitmen Prabowo-Gibran ciptakan masa depan sehat #MakanBergiziGratis",Makan bergizi gratis komitmen PrabowoGibran ciptakan masa depan sehat MakanBergiziGratis,makan gizi gratis komitmen prabowogibran cipta sehat makanbergizigratis,makan gizi gratis komitmen prabowogibran cipta sehat makanbergizigratis,"['makan', 'gizi', 'gratis', 'komitmen', 'prabowogibran', 'cipta', 'sehat', 'makanbergizigratis']","['makan', 'gizi', 'gratis', 'komitmen', 'prabowogibran', 'cipta', 'sehat', 'makanbergizigratis']",makan gizi gratis komitmen prabowogibran cipta sehat makanbergizigratis
Prabowo-Gibran wujudkan bangsa kuat lewat program makan bergizi gratis #MakanBergiziGratis,PrabowoGibran wujudkan bangsa kuat lewat program makan bergizi gratis MakanBergiziGratis,prabowogibran wujud bangsa kuat program makan gizi gratis makanbergizigratis,prabowogibran wujud bangsa kuat program makan gizi gratis makanbergizigratis,"['prabowogibran', 'wujud', 'bangsa', 'kuat', 'program', 'makan', 'gizi', 'gratis', 'makanbergizigratis']","['prabowogibran', 'wujud', 'bangsa', 'kuat', 'program', 'makan', 'gizi', 'gratis', 'makanbergizigratis']",prabowogibran wujud bangsa kuat program makan gizi gratis makanbergizigratis
"Makan bergizi gratis Prabowo-Gibran, harapan baru anak Indonesia cerah #MakanBergiziGratis",Makan bergizi gratis PrabowoGibran harapan baru anak Indonesia cerah MakanBergiziGratis,makan gizi gratis prabowogibran harap anak indonesia cerah makanbergizigratis,makan gizi gratis prabowogibran harap anak indonesia cerah makanbergizigratis,"['makan', 'gizi', 'gratis', 'prabowogibran', 'harap', 'anak', 'indonesia', 'cerah', 'makanbergizigratis']","['makan', 'gizi', 'gratis', 'prabowogibran', 'harap', 'anak', 'indonesia', 'cerah', 'makanbergizigratis']",makan gizi gratis prabowogibran harap anak indonesia cerah makanbergizigratis
"Program makan bergizi gratis, bukti nyata perhatian Prabowo-Gibran pada rakyat #MakanBergiziGratis",Program makan bergizi gratis bukti nyata perhatian PrabowoGibran pada rakyat MakanBergiziGratis,program makan gizi gratis bukti nyata perhati prabowogibran rakyat makanbergizigratis,program makan gizi gratis bukti nyata perhati prabowogibran rakyat makanbergizigratis,"['program', 'makan', 'gizi', 'gratis', 'bukti', 'nyata', 'perhati', 'prabowogibran', 'rakyat', 'makanbergizigratis']","['program', 'makan', 'gizi', 'gratis', 'bukti', 'nyata', 'perhati', 'prabowogibran', 'rakyat', 'makanbergizigratis']",program makan gizi gratis bukti nyata perhati prabowogibran rakyat makanbergizigratis
Generasi emas 2045 dimulai dari makan bergizi gratis Prabowo-Gibran #MakanBergiziGratis,Generasi emas 2045 dimulai dari makan bergizi gratis PrabowoGibran MakanBergiziGratis,generasi emas 2045 makan gizi gratis prabowogibran makanbergizigratis,generasi emas 2045 makan gizi gratis prabowogibran makanbergizigratis,"['generasi', 'emas', '2045', 'makan', 'gizi', 'gratis', 'prabowogibran', 'makanbergizigratis']","['generasi', 'emas', '2045', 'makan', 'gizi', 'gratis', 'prabowogibran', 'makanbergizigratis']",generasi emas 2045 makan gizi gratis prabowogibran makanbergizigratis
"Makan bergizi gratis, langkah nyata Prabowo-Gibran perangi stunting anak #MakanBergiziGratis",Makan bergizi gratis langkah nyata PrabowoGibran perangi stunting anak MakanBergiziGratis,makan gizi gratis langkah nyata prabowogibran rang stunting anak makanbergizigratis,makan gizi gratis langkah nyata prabowogibran rang stunting anak makanbergizigratis,"['makan', 'gizi', 'gratis', 'langkah', 'nyata', 'prabowogibran', 'rang', 'stunting', 'anak', 'makanbergizigratis']","['makan', 'gizi', 'gratis', 'langkah', 'nyata', 'prabowogibran', 'rang', 'stunting', 'anak', 'makanbergizigratis']",makan gizi gratis langkah nyata prabowogibran rang stunting anak makanbergizigratis
Prabowo-Gibran hadirkan makan bergizi gratis demi generasi sehat dan kuat #MakanBergiziGratis,PrabowoGibran hadirkan makan bergizi gratis demi generasi sehat dan kuat MakanBergiziGratis,prabowogibran hadir makan gizi gratis generasi sehat kuat makanbergizigratis,prabowogibran hadir makan gizi gratis generasi sehat kuat makanbergizigratis,"['prabowogibran', 'hadir', 'makan', 'gizi', 'gratis', 'generasi', 'sehat', 'kuat', 'makanbergizigratis']","['prabowogibran', 'hadir', 'makan', 'gizi', 'gratis', 'generasi', 'sehat', 'kuat', 'makanbergizigratis']",prabowogibran hadir makan gizi gratis generasi sehat kuat makanbergizigratis
"Program makan bergizi gratis, wujud kepedulian Prabowo-Gibran untuk bangsa #MakanBergiziGratis",Program makan bergizi gratis wujud kepedulian PrabowoGibran untuk bangsa MakanBergiziGratis,program makan gizi gratis wujud peduli prabowogibran bangsa makanbergizigratis,program makan gizi gratis wujud peduli prabowogibran bangsa makanbergizigratis,"['program', 'makan', 'gizi', 'gratis', 'wujud', 'peduli', 'prabowogibran', 'bangsa', 'makanbergizigratis']","['program', 'makan', 'gizi', 'gratis', 'wujud', 'peduli', 'prabowogibran', 'bangsa', 'makanbergizigratis']",program makan gizi gratis wujud peduli prabowogibran bangsa makanbergizigratis
"Program Makan Bergizi Gratis (MBG) niatnya mulia: bantu gizi anak sekolah. Tapi baru jalan, ribuan siswa malah keracunan. Kok bisa? 😷 Ini alarm serius yang nggak bisa diabaikan.",Program Makan Bergizi Gratis MBG niatnya mulia bantu gizi anak sekolah Tapi baru jalan ribuan siswa malah keracunan Kok bisa Ini alarm serius yang nggak bisa diabaikan,program makan gizi gratis mbg niat mulia bantu gizi anak sekolah jalan ribu siswa racun alarm serius nggak abai,program makan gizi gratis mbak niat mulia bantu gizi anak sekolah jalan ribu siswa racun alarm serius tidak abai,"['program', 'makan', 'gizi', 'gratis', 'mbak', 'niat', 'mulia', 'bantu', 'gizi', 'anak', 'sekolah', 'jalan', 'ribu', 'siswa', 'racun', 'alarm', 'serius', 'tidak', 'abai']","['program', 'makan', 'gizi', 'gratis', 'mbak', 'niat', 'mulia', 'bantu', 'gizi', 'anak', 'sekolah', 'jalan', 'ribu', 'siswa', 'racun', 'alarm', 'serius', 'abai']",program makan gizi gratis mbak niat mulia bantu gizi anak sekolah jalan ribu siswa racun alarm serius abai
Kita dukung penuh program Makan Bergizi Gratis (MBG),Kita dukung penuh program Makan Bergizi Gratis MBG,dukung penuh program makan gizi gratis mbg,dukung penuh program makan gizi gratis mbak,"['dukung', 'penuh', 'program', 'makan', 'gizi', 'gratis', 'mbak']","['dukung', 'penuh', 'program', 'makan', 'gizi', 'gratis', 'mbak']",dukung penuh program makan gizi gratis mbak
Program MBG outputnya cuma tai anjirrrrr,Program MBG outputnya cuma tai anjirrrrr,program mbg outputnya tai anjirrrrr,program mbak outputnya tahi anjirrrrr,"['program', 'mbak', 'outputnya', 'tahi', 'anjirrrrr']","['program', 'mbak', 'outputnya', 'tahi', 'anjirrrrr']",program mbak outputnya tahi anjirrrrr
"Sumpah, mending mbg di udahin aja deh, akuin kalo emg gak berjalan baik, gakpp kok kita ngerti pak. Sayang di anggaran soalnya, masih banyak yg perlu dibenerin dan butuh banyak anggaran. Jgn terkesan cuman ngedepanin ego trus biar daper validasi aja, kasihan kami kami ini pak",Sumpah mending mbg di udahin aja deh akuin kalo emg gak berjalan baik gakpp kok kita ngerti pak Sayang di anggaran soalnya masih banyak yg perlu dibenerin dan butuh banyak anggaran Jgn terkesan cuman ngedepanin ego trus biar daper validasi aja kasihan kami kami ini pak,sumpah mending mbg udahin aja deh akuin kalo emg gak jalan gakpp ngerti sayang anggar yg dibenerin butuh anggar jgn kes cuman ngedepanin ego trus biar daper validasi aja kasihan,sumpah mending mbak udahin saja deh akuin kalau memang tidak jalan gakpp mengerti sayang anggar yang dibenerin butuh anggar jangan kes cuman ngedepanin ego terus biar daper validasi saja kasihan,"['sumpah', 'mending', 'mbak', 'udahin', 'saja', 'deh', 'akuin', 'kalau', 'memang', 'tidak', 'jalan', 'gakpp', 'mengerti', 'sayang', 'anggar', 'yang', 'dibenerin', 'butuh', 'anggar', 'jangan', 'kes', 'cuman', 'ngedepanin', 'ego', 'terus', 'biar', 'daper', 'validasi', 'saja', 'kasihan']","['sumpah', 'mending', 'mbak', 'udahin', 'deh', 'akuin', 'jalan', 'gakpp', 'mengerti', 'sayang', 'anggar', 'dibenerin', 'butuh', 'anggar', 'kes', 'cuman', 'ngedepanin', 'ego', 'biar', 'daper', 'validasi', 'kasihan']",sumpah mending mbak udahin deh akuin jalan gakpp erti sayang anggar dibenerin butuh anggar kes cuman ngedepanin ego biar daper validasi kasihan
"Ngga heran kalau 10 demonstran yang meninggal hanya dianggap sebagian kecil rakyat Indonesia

Ngga heran kalau 1000+ lebih yang keracunan karena MBG hanya dianggap sebagian kecil pelajar

Ngga heran kalau jutaan pengangguran hanya dianggap sebagian kecil masyarakat

Buku Development as Freedom (1999) mengatakan bahwa negara seringkali mengecilkan kritik dari rakyat miskin dan tertindas karena dianggap hanya sebagian kecil dan tidak mewakilkan masyarakat banyak

Padahal ketika kelaparan terjadi itu bukan karena bencana alam. Tapi kegagalan politik dan kebijakan publik

Memang di mata negara kita hanyalah angka dan statistik di atas kertas!",Ngga heran kalau 10 demonstran yang meninggal hanya dianggap sebagian kecil rakyat Indonesia Ngga heran kalau 1000 lebih yang keracunan karena MBG hanya dianggap sebagian kecil pelajar Ngga heran kalau jutaan pengangguran hanya dianggap sebagian kecil masyarakat Buku Development as Freedom 1999 mengatakan bahwa negara seringkali mengecilkan kritik dari rakyat miskin dan tertindas karena dianggap hanya sebagian kecil dan tidak mewakilkan masyarakat banyak Padahal ketika kelaparan terjadi itu bukan karena bencana alam Tapi kegagalan politik dan kebijakan publik Memang di mata negara kita hanyalah angka dan statistik di atas kertas,ngga heran 10 demonstran tinggal anggap rakyat indonesia ngga heran 1000 racun mbg anggap ajar ngga heran juta anggur anggap masyarakat buku development as freedom 1999 negara seringkali kecil kritik rakyat miskin tindas anggap wakil masyarakat lapar bencana alam gagal politik bijak publik mata negara angka statistik kertas,tidak heran 10 demonstran tinggal anggap rakyat indonesia tidak heran 1000 racun mbak anggap ajar tidak heran juta anggur anggap masyarakat buku development as freedom 1999 negara seringkali kecil kritik rakyat miskin tindas anggap wakil masyarakat lapar bencana alam gagal politik bijak publik mata negara angka statistik kertas,"['tidak', 'heran', '10', 'demonstran', 'tinggal', 'anggap', 'rakyat', 'indonesia', 'tidak', 'heran', '1000', 'racun', 'mbak', 'anggap', 'ajar', 'tidak', 'heran', 'juta', 'anggur', 'anggap', 'masyarakat', 'buku', 'development', 'as', 'freedom', '1999', 'negara', 'seringkali', 'kecil', 'kritik', 'rakyat', 'miskin', 'tindas', 'anggap', 'wakil', 'masyarakat', 'lapar', 'bencana', 'alam', 'gagal', 'politik', 'bijak', 'publik', 'mata', 'negara', 'angka', 'statistik', 'kertas']","['heran', '10', 'demonstran', 'tinggal', 'anggap', 'rakyat', 'indonesia', 'heran', '1000', 'racun', 'mbak', 'anggap', 'ajar', 'heran', 'juta', 'anggur', 'anggap', 'masyarakat', 'buku', 'development', 'as', 'freedom', '1999', 'negara', 'seringkali', 'kritik', 'rakyat', 'miskin', 'tindas', 'anggap', 'wakil', 'masyarakat', 'lapar', 'bencana', 'alam', 'gagal', 'politik', 'bijak', 'publik', 'mata', 'negara', 'angka', 'statistik', 'kertas']",heran 10 demonstran tinggal anggap rakyat indonesia heran 1000 racun mbak anggap ajar heran juta anggur anggap masyarakat buku development as freedom 1999 negara seringkali kritik rakyat miskin tindas anggap wakil masyarakat lapar bencana alam gagal politik bijak publik mata negara angka statistik kertas
ada nih nder buat dapur MBG,ada nih nder buat dapur MBG,nih nder dapur mbg,nih nder dapur mbak,"['nih', 'nder', 'dapur', 'mbak']","['nih', 'nder', 'dapur', 'mbak']",nih nder dapur mbak
💚 Prabowo mau ga yaa kalo kebijakan MBG nya di batalin/dihentikan? dan alokasi dana nya ke pembangunan jalan atau apa kek.. 🥺,Prabowo mau ga yaa kalo kebijakan MBG nya di batalindihentikan dan alokasi dana nya ke pembangunan jalan atau apa kek,prabowo ga yaa kalo bijak mbg nya batalindihentikan alokasi dana nya bangun jalan kek,prabowo tidak ya kalau bijak mbak ya batalindihentikan alokasi dana ya bangun jalan kayak,"['prabowo', 'tidak', 'ya', 'kalau', 'bijak', 'mbak', 'ya', 'batalindihentikan', 'alokasi', 'dana', 'ya', 'bangun', 'jalan', 'kayak']","['prabowo', 'ya', 'bijak', 'mbak', 'ya', 'batalindihentikan', 'alokasi', 'dana', 'ya', 'bangun', 'jalan', 'kayak']",prabowo ya bijak mbak ya batalindihentikan alokasi dana ya bangun jalan kayak
MBG kebijakan paling gila buat ngambur2in duit APBN,MBG kebijakan paling gila buat ngambur2in duit APBN,mbg bijak gila ngambur2in duit apbn,mbak bijak gila ngambur2in duit apbn,"['mbak', 'bijak', 'gila', 'ngambur2in', 'duit', 'apbn']","['mbak', 'bijak', 'gila', 'ngambur2in', 'duit', 'apbn']",mbak bijak gila ngambur2in duit apbn
Sopo ngongkon MBG mbek ngopeni IKN cok jancok,Sopo ngongkon MBG mbek ngopeni IKN cok jancok,sopo ngongkon mbg mbek ngopeni ikn cok jancok,sopo ngongkon mbak mbek ngopeni ikn cok jancok,"['sopo', 'ngongkon', 'mbak', 'mbek', 'ngopeni', 'ikn', 'cok', 'jancok']","['sopo', 'ngongkon', 'mbak', 'mbek', 'ngopeni', 'ikn', 'cok', 'jancok']",sopo ngongkon mbak mbek ngopeni ikn cok jancok
"Setuju, program MBG punya niat baik untuk 82 juta siswa, tapi kasus keracunan (ribuan sejak Januari 2025, laporan BBC & Tempo) & menu kurang gizi (evaluasi UNICEF soroti stunting) jadi masalah besar. UNICEF dukung lewat Pusat Unggulan (Feb 2025) untuk perbaiki kualitas. Butuh audit ketat agar efektif, bukan coba-coba. Semoga dibenahi segera!",Setuju program MBG punya niat baik untuk 82 juta siswa tapi kasus keracunan ribuan sejak Januari 2025 laporan BBC Tempo menu kurang gizi evaluasi UNICEF soroti stunting jadi masalah besar UNICEF dukung lewat Pusat Unggulan Feb 2025 untuk perbaiki kualitas Butuh audit ketat agar efektif bukan cobacoba Semoga dibenahi segera,tuju program mbg niat 82 juta siswa racun ribu januari 2025 lapor bbc tempo menu gizi evaluasi unicef sorot stunting unicef dukung pusat unggul feb 2025 baik kualitas butuh audit ketat efektif cobacoba moga benah,tuju program mbak niat 82 juta siswa racun ribu januari 2025 lapor bbc tempo menu gizi evaluasi unicef sorot stunting unicef dukung pusat unggul februari 2025 baik kualitas butuh audit ketat efektif cobacoba moga benah,"['tuju', 'program', 'mbak', 'niat', '82', 'juta', 'siswa', 'racun', 'ribu', 'januari', '2025', 'lapor', 'bbc', 'tempo', 'menu', 'gizi', 'evaluasi', 'unicef', 'sorot', 'stunting', 'unicef', 'dukung', 'pusat', 'unggul', 'februari', '2025', 'baik', 'kualitas', 'butuh', 'audit', 'ketat', 'efektif', 'cobacoba', 'moga', 'benah']","['tuju', 'program', 'mbak', 'niat', '82', 'juta', 'siswa', 'racun', 'ribu', 'januari', '2025', 'lapor', 'bbc', 'tempo', 'menu', 'gizi', 'evaluasi', 'unicef', 'sorot', 'stunting', 'unicef', 'dukung', 'pusat', 'unggul', 'februari', '2025', 'kualitas', 'butuh', 'audit', 'ketat', 'efektif', 'cobacoba', 'moga', 'benah']",tuju program mbak niat 82 juta siswa racun ribu januari 2025 lapor bbc tempo menu gizi evaluasi unicef sorot stunting unicef dukung pusat unggul februari 2025 kualitas butuh audit ketat efektif cobacoba moga benah
"Jauh sebelum kericuhan ini rakyat udah marah, karna MBG, masalah gas & statement bahlil waktu itu, pertamina dioplos, raja ampat. Trus dapet kabar gaji dpr 100jt, kita demo, eh malah banyak korban yg diculik, babak belur, bahkan meninggal. Trus kita marah dituduh anak abah? Tai.",Jauh sebelum kericuhan ini rakyat udah marah karna MBG masalah gas statement bahlil waktu itu pertamina dioplos raja ampat Trus dapet kabar gaji dpr 100jt kita demo eh malah banyak korban yg diculik babak belur bahkan meninggal Trus kita marah dituduh anak abah Tai,ricuh rakyat udah marah karna mbg gas statement bahlil pertamina oplos raja ampat trus dapet kabar gaji dpr 100jt demo eh korban yg culik babak bur tinggal trus marah tuduh anak abah tai,ricuh rakyat sudah marah karena mbak gas statement bahlil pertamina oplos raja ampat terus dapat kabar gaji dpr 100jt demo eh korban yang culik babak bur tinggal terus marah tuduh anak abah tahi,"['ricuh', 'rakyat', 'sudah', 'marah', 'karena', 'mbak', 'gas', 'statement', 'bahlil', 'pertamina', 'oplos', 'raja', 'ampat', 'terus', 'dapat', 'kabar', 'gaji', 'dpr', '100jt', 'demo', 'eh', 'korban', 'yang', 'culik', 'babak', 'bur', 'tinggal', 'terus', 'marah', 'tuduh', 'anak', 'abah', 'tahi']","['ricuh', 'rakyat', 'marah', 'mbak', 'gas', 'statement', 'bahlil', 'pertamina', 'oplos', 'raja', 'ampat', 'kabar', 'gaji', 'dpr', '100jt', 'demo', 'eh', 'korban', 'culik', 'babak', 'bur', 'tinggal', 'marah', 'tuduh', 'anak', 'abah', 'tahi']",ricuh rakyat marah mbak gas statement bahlil pertamina oplos raja ampat kabar gaji dpr 100jt demo eh korban culik babak bur tinggal marah tuduh anak abah tahi
MBG Day 4,MBG Day 4,mbg day 4,mbak day 4,"['mbak', 'day', '4']","['mbak', 'day', '4']",mbak day 4
makan siang bergizi gratis (dibawain mamah rendang)😸☝️,makan siang bergizi gratis dibawain mamah rendang,makan siang gizi gratis dibawain mamah rendang,makan siang gizi gratis dibawain mamah rendang,"['makan', 'siang', 'gizi', 'gratis', 'dibawain', 'mamah', 'rendang']","['makan', 'siang', 'gizi', 'gratis', 'dibawain', 'mamah', 'rendang']",makan siang gizi gratis dibawain mamah rendang
