tweet,tweet_cleaning,tweet_casefolding,normalisasi,tokenize,stopword removal,steming_data
"just remember $MBG, Now yap",just remember MBG Now yap,just remember mbg now yap,just remember mbak now ya,"['just', 'remember', 'mbak', 'now', 'ya']","['just', 'remember', 'mbak', 'now', 'ya']",just remember mbak now ya
"Janjinya maksimal, 
Pelaksanaannya minimal. 

MBG minimalis.",Janjinya maksimal Pelaksanaannya minimal MBG minimalis,janji maksimal laksana minimal mbg minimal,janji maksimal laksana minimal mbak minimal,"['janji', 'maksimal', 'laksana', 'minimal', 'mbak', 'minimal']","['janji', 'maksimal', 'laksana', 'minimal', 'mbak', 'minimal']",janji maksimal laksana minimal mbak minimal
yayasan penyalur vendor MBG:,yayasan penyalur vendor MBG,yayasan salur vendor mbg,yayasan salur vendor mbak,"['yayasan', 'salur', 'vendor', 'mbak']","['yayasan', 'salur', 'vendor', 'mbak']",yayasan salur vendor mbak
Cocok jd mentri mbg banh😂,Cocok jd mentri mbg banh,cocok jd tri mbg banh,cocok jadi tri mbak banh,"['cocok', 'jadi', 'tri', 'mbak', 'banh']","['cocok', 'tri', 'mbak', 'banh']",cocok tri mbak banh
Yah gimana woi ekonomi lagi sulit banyak kebijakan yang kek janji manis aja MBG dll,Yah gimana woi ekonomi lagi sulit banyak kebijakan yang kek janji manis aja MBG dll,yah gimana woi ekonomi sulit bijak kek janji manis aja mbg dll,ya bagaimana woi ekonomi sulit bijak kayak janji manis saja mbak dll,"['ya', 'bagaimana', 'woi', 'ekonomi', 'sulit', 'bijak', 'kayak', 'janji', 'manis', 'saja', 'mbak', 'dll']","['ya', 'woi', 'ekonomi', 'sulit', 'bijak', 'kayak', 'janji', 'manis', 'mbak', 'dll']",ya woi ekonomi sulit bijak kayak janji manis mbak dll
"Pemerintahan Macron KOLAPS
Oposisi Perancis bersama ajukan 
Makzulkan Macron.
Gimana Prabowo ...
Mengelola ekonomi  sebesar
negara ini tanpa SMI 
Hati2 
Cepat atau lambat bernasib seperti Macron 
Apalagi bayak anggaran super jumbo. seperti MBG . Militer d
Kopdes.
Ngeri juga  😂",Pemerintahan Macron KOLAPS Oposisi Perancis bersama ajukan Makzulkan Macron Gimana Prabowo Mengelola ekonomi sebesar negara ini tanpa SMI Hati2 Cepat atau lambat bernasib seperti Macron Apalagi bayak anggaran super jumbo seperti MBG Militer d Kopdes Ngeri juga,perintah macron kolaps oposisi perancis aju makzul macron gimana prabowo kelola ekonomi negara smi hati2 cepat lambat nasib macron bayak anggar super jumbo mbg militer d kopdes ngeri,perintah macron kolaps oposisi perancis aju makzul macron bagaimana prabowo kelola ekonomi negara smi cepat lambat nasib macron bayak anggar super jumbo mbak militer di kopdes ngeri,"['perintah', 'macron', 'kolaps', 'oposisi', 'perancis', 'aju', 'makzul', 'macron', 'bagaimana', 'prabowo', 'kelola', 'ekonomi', 'negara', 'smi', 'cepat', 'lambat', 'nasib', 'macron', 'bayak', 'anggar', 'super', 'jumbo', 'mbak', 'militer', 'di', 'kopdes', 'ngeri']","['perintah', 'macron', 'kolaps', 'oposisi', 'perancis', 'aju', 'makzul', 'macron', 'prabowo', 'kelola', 'ekonomi', 'negara', 'smi', 'cepat', 'lambat', 'nasib', 'macron', 'bayak', 'anggar', 'super', 'jumbo', 'mbak', 'militer', 'kopdes', 'ngeri']",perintah macron kolaps oposisi perancis aju makzul macron prabowo kelola ekonomi negara smi cepat lambat nasib macron bayak anggar super jumbo mbak militer kopdes ngeri
Jauh lebih baik dan bermanfaat alokasi anggaran makan bergizi Gratis langsung diberikan kepada wali murid dengan kewajiban harus memberikan bekal kepada anaknya,Jauh lebih baik dan bermanfaat alokasi anggaran makan bergizi Gratis langsung diberikan kepada wali murid dengan kewajiban harus memberikan bekal kepada anaknya,manfaat alokasi anggar makan gizi gratis langsung wali murid wajib bekal anak,manfaat alokasi anggar makan gizi gratis langsung wali murid wajib bekal anak,"['manfaat', 'alokasi', 'anggar', 'makan', 'gizi', 'gratis', 'langsung', 'wali', 'murid', 'wajib', 'bekal', 'anak']","['manfaat', 'alokasi', 'anggar', 'makan', 'gizi', 'gratis', 'langsung', 'wali', 'murid', 'wajib', 'bekal', 'anak']",manfaat alokasi anggar makan gizi gratis langsung wali murid wajib bekal anak
"mbg makan bergizi gratis, yap dari mama. hari ini menunya brokoli, dan gue udah bosen",mbg makan bergizi gratis yap dari mama hari ini menunya brokoli dan gue udah bosen,mbg makan gizi gratis yap mama menu brokoli gue udah bosen,mbak makan gizi gratis ya mama menu brokoli gue sudah bosan,"['mbak', 'makan', 'gizi', 'gratis', 'ya', 'mama', 'menu', 'brokoli', 'gue', 'sudah', 'bosan']","['mbak', 'makan', 'gizi', 'gratis', 'ya', 'mama', 'menu', 'brokoli', 'gue', 'bosan']",mbak makan gizi gratis ya mama menu brokoli gue bosan
"Biar makin pintar, jangan lupa nikmatin Makan Bergizi Gratis yang selalu ada tiap hari",Biar makin pintar jangan lupa nikmatin Makan Bergizi Gratis yang selalu ada tiap hari,biar pintar lupa nikmatin makan gizi gratis,biar pintar lupa menikmati makan gizi gratis,"['biar', 'pintar', 'lupa', 'menikmati', 'makan', 'gizi', 'gratis']","['biar', 'pintar', 'lupa', 'menikmati', 'makan', 'gizi', 'gratis']",biar pintar lupa nikmat makan gizi gratis
@prabowo coba ganti program makan bergizi gratis itu jadi program satu rumah satu lee sangwon,coba ganti program makan bergizi gratis itu jadi program satu rumah satu lee sangwon,coba ganti program makan gizi gratis program rumah lee sangwon,coba ganti program makan gizi gratis program rumah lee sangwon,"['coba', 'ganti', 'program', 'makan', 'gizi', 'gratis', 'program', 'rumah', 'lee', 'sangwon']","['coba', 'ganti', 'program', 'makan', 'gizi', 'gratis', 'program', 'rumah', 'lee', 'sangwon']",coba ganti program makan gizi gratis program rumah lee sangwon
